OrderID,Tanggal_Pesanan,Produk,Kategori,Wilayah,Jumlah,Harga_Satuan,Metode_Pembayaran,Diskon,Total_Penjualan,Bulan,Hari_Dalam_Seminggu,Jam_Pesanan
19,2024-12-30 16:47:34,Keyboard Mekanik,Periferal,Surabaya,1,1630844,Debit Card,0.05,1549301.8,2024-12,0,20
20,2025-03-26 16:47:34,Smartwatch,Aksesoris,Surabaya,3,2956070,Credit Card,0,8868210,2025-03,2,16
21,2025-06-04 16:47:34,Headphone Wireless,Aksesoris,Medan,1,789626,Bank Transfer,0,789626,2025-06,2,18
22,2025-02-04 16:47:34,Smartphone Terbaru,Elektronik,Makassar,1,3288859,Debit Card,0,3288859,2025-02,1,12
23,2025-05-07 16:47:34,Headphone Wireless,Aksesoris,Jakarta,4,1114037,Credit Card,0,4456148,2025-05,2,14
24,2025-01-18 16:47:34,Smartphone Terbaru,Elektronik,Denpasar,4,8867021,E-Wallet,0,35468084,2025-01,5,19
25,2025-06-07 16:47:34,Smartphone Terbaru,Elektronik,Medan,1,7749766,Debit Card,0,7749766,2025-06,5,12
26,2025-02-24 16:47:34,Headphone Wireless,Aksesoris,Makassar,4,1227460,Bank Transfer,0,4909840,2025-02,0,14
27,2025-01-19 16:47:34,Laptop Gaming,Elektronik,Medan,4,16546236,Credit Card,0,66184944,2025-01,6,20
28,2025-03-27 16:47:34,Smartphone Terbaru,Elektronik,Makassar,1,7001412,Debit Card,0.05,6651341.4,2025-03,3,11
29,2025-02-15 16:47:34,Headphone Wireless,Aksesoris,Jakarta,3,493718,Debit Card,0.15,1258980.9,2025-02,5,15
30,2025-02-25 16:47:34,Smartphone Terbaru,Elektronik,Makassar,1,3594305,Debit Card,0.05,3414589.75,2025-02,1,20
31,2025-06-16 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,7257341,Bank Transfer,0,29029364,2025-06,0,18
32,2025-01-12 16:47:34,Monitor Curved,Periferal,Makassar,3,5759834,Credit Card,0,17279502,2025-01,6,21
33,2025-06-21 16:47:34,Smartwatch,Aksesoris,Denpasar,2,1782789,E-Wallet,0.15,3030741.3,2025-06,5,17
34,2025-02-17 16:47:34,Laptop Gaming,Elektronik,Jakarta,3,23592974,E-Wallet,0,70778922,2025-02,0,20
35,2025-04-15 16:47:34,Keyboard Mekanik,Periferal,Jakarta,4,902420,E-Wallet,0,3609680,2025-04,1,18
36,2025-02-21 16:47:34,Headphone Wireless,Aksesoris,Makassar,3,454249,Credit Card,0,1362747,2025-02,4,17
37,2025-03-02 16:47:34,Monitor Curved,Periferal,Jakarta,1,3679161,E-Wallet,0.05,3495202.95,2025-03,6,14
38,2025-05-08 16:47:34,Headphone Wireless,Aksesoris,Makassar,2,1338199,Bank Transfer,0.05,2542578.1,2025-05,3,17
39,2025-02-17 16:47:34,Keyboard Mekanik,Periferal,Jakarta,2,1060902,Credit Card,0,2121804,2025-02,0,12
40,2025-05-12 16:47:34,Monitor Curved,Periferal,Jakarta,2,3538112,Debit Card,0,7076224,2025-05,0,18
41,2025-01-18 16:47:34,Monitor Curved,Periferal,Denpasar,4,3726676,Bank Transfer,0.15,12670698.4,2025-01,5,13
42,2025-03-11 16:47:34,Monitor Curved,Periferal,Medan,4,3370073,Debit Card,0,13480292,2025-03,1,12
43,2025-06-13 16:47:34,Laptop Gaming,Elektronik,Makassar,2,16685996,E-Wallet,0.05,31703392.4,2025-06,4,14
44,2025-01-15 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,3,8430484,Bank Transfer,0.05,24026879.4,2025-01,2,19
45,2025-05-09 16:47:34,Monitor Curved,Periferal,Medan,2,5246417,Credit Card,0.05,9968192.3,2025-05,4,9
46,2025-03-27 16:47:34,Headphone Wireless,Aksesoris,Medan,3,1002436,Bank Transfer,0,3007308,2025-03,3,12
47,2025-02-26 16:47:34,Monitor Curved,Periferal,Medan,3,4543788,Debit Card,0,13631364,2025-02,2,17
48,2025-01-11 16:47:34,Laptop Gaming,Elektronik,Medan,4,16352144,Credit Card,0,65408576,2025-01,5,10
49,2025-01-06 16:47:34,Headphone Wireless,Aksesoris,Medan,3,1271248,Bank Transfer,0.1,3432369.6,2025-01,0,16
50,2025-03-28 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,7657851,Bank Transfer,0.1,13784131.8,2025-03,4,20
51,2025-02-19 16:47:34,Headphone Wireless,Aksesoris,Jakarta,4,703850,Bank Transfer,0,2815400,2025-02,2,13
52,2025-05-07 16:47:34,Smartwatch,Aksesoris,Makassar,1,1684446,Bank Transfer,0,1684446,2025-05,2,20
53,2025-03-22 16:47:34,Headphone Wireless,Aksesoris,Jakarta,1,810259,Credit Card,0.1,729233.1,2025-03,5,17
54,2025-03-30 16:47:34,Headphone Wireless,Aksesoris,Medan,4,1359325,Debit Card,0.05,5165435,2025-03,6,10
55,2025-04-18 16:47:34,Headphone Wireless,Aksesoris,Jakarta,2,928419,Bank Transfer,0.1,1671154.2,2025-04,4,14
56,2025-06-18 16:47:34,Smartphone Terbaru,Elektronik,Medan,1,8923361,Credit Card,0,8923361,2025-06,2,11
57,2025-01-05 16:47:34,Monitor Curved,Periferal,Medan,1,3963571,Debit Card,0,3963571,2025-01,6,21
58,2025-06-21 16:47:34,Laptop Gaming,Elektronik,Jakarta,3,20542511,Bank Transfer,0.05,58546156.35,2025-06,5,10
59,2025-02-01 16:47:34,Headphone Wireless,Aksesoris,Jakarta,3,525019,Debit Card,0.05,1496304.15,2025-02,5,15
60,2025-03-19 16:47:34,Headphone Wireless,Aksesoris,Jakarta,2,897218,Debit Card,0,1794436,2025-03,2,20
61,2025-06-10 16:47:34,Monitor Curved,Periferal,Medan,4,5815144,Credit Card,0,23260576,2025-06,1,11
62,2025-02-16 16:47:34,Headphone Wireless,Aksesoris,Makassar,2,1117052,Debit Card,0,2234104,2025-02,6,18
63,2025-04-11 16:47:34,Keyboard Mekanik,Periferal,Jakarta,4,2385957,Credit Card,0,9543828,2025-04,4,8
64,2025-05-09 16:47:34,Keyboard Mekanik,Periferal,Medan,1,1119401,Bank Transfer,0,1119401,2025-05,4,13
65,2024-12-30 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,3,9269324,Debit Card,0.15,23636776.2,2024-12,0,17
66,2025-05-11 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,4428080,Debit Card,0,8856160,2025-05,6,18
67,2025-02-20 16:47:34,Smartphone Terbaru,Elektronik,Denpasar,2,4101928,E-Wallet,0.1,7383470.4,2025-02,3,18
68,2025-04-13 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,4,5521279,Bank Transfer,0,22085116,2025-04,6,8
69,2025-01-01 16:47:34,Smartwatch,Aksesoris,Surabaya,4,2600343,Bank Transfer,0.05,9881303.4,2025-01,2,12
70,2025-02-20 16:47:34,Keyboard Mekanik,Periferal,Jakarta,2,2325544,E-Wallet,0.15,3953424.8,2025-02,3,14
71,2025-05-23 16:47:34,Laptop Gaming,Elektronik,Jakarta,4,17726016,E-Wallet,0,70904064,2025-05,4,13
72,2025-02-10 16:47:34,Laptop Gaming,Elektronik,Jakarta,2,16244289,Credit Card,0,32488578,2025-02,0,21
73,2025-06-08 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,2,3442939,Credit Card,0,6885878,2025-06,6,9
74,2025-01-11 16:47:34,Monitor Curved,Periferal,Medan,2,3052207,Debit Card,0,6104414,2025-01,5,18
75,2025-04-02 16:47:34,Headphone Wireless,Aksesoris,Surabaya,1,1485820,Debit Card,0.05,1411529,2025-04,2,11
76,2025-02-14 16:47:34,Laptop Gaming,Elektronik,Surabaya,4,23692832,Debit Card,0.1,85294195.2,2025-02,4,18
77,2025-01-12 16:47:34,Keyboard Mekanik,Periferal,Jakarta,3,620169,Debit Card,0,1860507,2025-01,6,9
78,2025-02-06 16:47:34,Monitor Curved,Periferal,Jakarta,3,4711793,Credit Card,0,14135379,2025-02,3,18
79,2025-03-20 16:47:34,Laptop Gaming,Elektronik,Medan,4,17319124,Bank Transfer,0,69276496,2025-03,3,8
80,2025-04-18 16:47:34,Smartwatch,Aksesoris,Denpasar,2,2573290,Debit Card,0.05,4889251,2025-04,4,10
81,2025-02-19 16:47:34,Monitor Curved,Periferal,Jakarta,3,6942625,Bank Transfer,0,20827875,2025-02,2,10
82,2025-01-21 16:47:34,Smartphone Terbaru,Elektronik,Makassar,3,9800135,Debit Card,0,29400405,2025-01,1,19
83,2025-05-31 16:47:34,Laptop Gaming,Elektronik,Medan,4,17518970,E-Wallet,0.05,66572086,2025-05,5,14
84,2025-05-01 16:47:34,Laptop Gaming,Elektronik,Medan,3,18889877,Debit Card,0.05,53836149.45,2025-05,3,8
85,2025-02-07 16:47:34,Laptop Gaming,Elektronik,Surabaya,2,16727408,Debit Card,0,33454816,2025-02,4,16
86,2025-06-03 16:47:34,Keyboard Mekanik,Periferal,Jakarta,4,1455675,Debit Card,0.05,5531565,2025-06,1,18
87,2025-01-12 16:47:34,Keyboard Mekanik,Periferal,Jakarta,2,2222550,Credit Card,0,4445100,2025-01,6,13
88,2025-02-11 16:47:34,Laptop Gaming,Elektronik,Medan,3,22436754,E-Wallet,0,67310262,2025-02,1,11
89,2025-03-03 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,3,3965188,Debit Card,0.1,10706007.6,2025-03,0,10
90,2025-03-27 16:47:34,Laptop Gaming,Elektronik,Denpasar,2,17161088,Debit Card,0.05,32606067.2,2025-03,3,10
91,2025-03-09 16:47:34,Laptop Gaming,Elektronik,Surabaya,1,23018006,Bank Transfer,0,23018006,2025-03,6,9
92,2025-01-06 16:47:34,Keyboard Mekanik,Periferal,Jakarta,3,887510,E-Wallet,0,2662530,2025-01,0,9
93,2025-03-26 16:47:34,Smartphone Terbaru,Elektronik,Medan,1,9354986,Debit Card,0,9354986,2025-03,2,21
94,2025-05-06 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,3,6575168,Bank Transfer,0,19725504,2025-05,1,19
95,2025-05-13 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,1,8795250,Bank Transfer,0,8795250,2025-05,1,20
96,2025-03-01 16:47:34,Smartwatch,Aksesoris,Medan,1,2173879,Credit Card,0,2173879,2025-03,5,17
97,2025-05-16 16:47:34,Smartphone Terbaru,Elektronik,Denpasar,1,4780752,Bank Transfer,0,4780752,2025-05,4,12
98,2025-03-19 16:47:34,Monitor Curved,Periferal,Makassar,2,5293331,Debit Card,0.05,10057328.9,2025-03,2,16
99,2025-05-13 16:47:34,Smartphone Terbaru,Elektronik,Medan,1,8069076,Credit Card,0.05,7665622.2,2025-05,1,9
100,2025-06-09 16:47:34,Monitor Curved,Periferal,Medan,1,5764455,Credit Card,0.05,5476232.25,2025-06,0,9
101,2025-06-09 16:47:34,Smartwatch,Aksesoris,Denpasar,1,641214,Debit Card,0,641214,2025-06,0,19
102,2025-01-30 16:47:34,Laptop Gaming,Elektronik,Jakarta,3,23791690,E-Wallet,0.15,60668809.5,2025-01,3,13
103,2025-04-30 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,1,3201139,Bank Transfer,0.1,2881025.1,2025-04,2,20
104,2025-01-02 16:47:34,Keyboard Mekanik,Periferal,Jakarta,3,1428494,Credit Card,0.1,3856933.8,2025-01,3,17
105,2025-02-07 16:47:34,Keyboard Mekanik,Periferal,Jakarta,1,1421318,E-Wallet,0.1,1279186.2,2025-02,4,9
106,2025-01-25 16:47:34,Headphone Wireless,Aksesoris,Medan,1,949714,Debit Card,0.1,854742.6,2025-01,5,19
107,2025-05-12 16:47:34,Headphone Wireless,Aksesoris,Medan,2,888315,Bank Transfer,0,1776630,2025-05,0,11
108,2025-03-10 16:47:34,Keyboard Mekanik,Periferal,Medan,3,1899698,Bank Transfer,0,5699094,2025-03,0,13
109,2025-01-09 16:47:34,Headphone Wireless,Aksesoris,Jakarta,1,392601,Credit Card,0.05,372970.95,2025-01,3,12
110,2025-06-08 16:47:34,Laptop Gaming,Elektronik,Medan,3,18175684,Bank Transfer,0.05,51800699.4,2025-06,6,8
111,2025-01-30 16:47:34,Keyboard Mekanik,Periferal,Surabaya,3,1029085,Bank Transfer,0.05,2932892.25,2025-01,3,13
112,2025-02-14 16:47:34,Smartphone Terbaru,Elektronik,Medan,4,4959925,Bank Transfer,0,19839700,2025-02,4,8
113,2025-05-28 16:47:34,Headphone Wireless,Aksesoris,Medan,2,1212735,Bank Transfer,0,2425470,2025-05,2,10
114,2025-02-28 16:47:34,Laptop Gaming,Elektronik,Surabaya,2,24906695,Debit Card,0,49813390,2025-02,4,17
115,2025-02-03 16:47:34,Laptop Gaming,Elektronik,Jakarta,2,21071845,E-Wallet,0.1,37929321,2025-02,0,12
116,2025-04-06 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,5518638,Debit Card,0,22074552,2025-04,6,21
117,2025-06-18 16:47:34,Monitor Curved,Periferal,Makassar,4,2603103,Debit Card,0,10412412,2025-06,2,17
118,2025-04-11 16:47:34,Smartphone Terbaru,Elektronik,Denpasar,2,7233583,Credit Card,0,14467166,2025-04,4,20
119,2025-02-01 16:47:34,Smartphone Terbaru,Elektronik,Medan,4,7566235,Bank Transfer,0,30264940,2025-02,5,12
120,2025-04-08 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,4989968,Debit Card,0.1,17963884.8,2025-04,1,20
121,2025-06-21 16:47:34,Headphone Wireless,Aksesoris,Surabaya,4,448702,Bank Transfer,0.05,1705067.6,2025-06,5,17
122,2025-05-08 16:47:34,Keyboard Mekanik,Periferal,Medan,2,1509639,Debit Card,0.05,2868314.1,2025-05,3,13
123,2024-12-29 16:47:34,Headphone Wireless,Aksesoris,Makassar,2,1073887,Debit Card,0,2147774,2024-12,6,19
124,2025-01-02 16:47:34,Headphone Wireless,Aksesoris,Jakarta,2,952184,Credit Card,0.05,1809149.6,2025-01,3,17
125,2025-05-19 16:47:34,Keyboard Mekanik,Periferal,Jakarta,4,2139080,E-Wallet,0,8556320,2025-05,0,15
126,2025-04-10 16:47:34,Headphone Wireless,Aksesoris,Medan,2,745377,E-Wallet,0.05,1416216.3,2025-04,3,12
127,2025-01-24 16:47:34,Laptop Gaming,Elektronik,Surabaya,4,16257008,Debit Card,0,65028032,2025-01,4,21
128,2025-05-14 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,1,9473507,Credit Card,0,9473507,2025-05,2,18
129,2025-01-12 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,7070211,Bank Transfer,0.05,26866801.8,2025-01,6,8
130,2025-03-28 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,3,8137997,Bank Transfer,0.1,21972591.9,2025-03,4,12
131,2025-02-08 16:47:34,Smartphone Terbaru,Elektronik,Makassar,2,6843688,Debit Card,0,13687376,2025-02,5,10
132,2025-05-01 16:47:34,Monitor Curved,Periferal,Denpasar,2,5616984,E-Wallet,0.1,10110571.2,2025-05,3,11
133,2025-06-25 16:47:34,Smartphone Terbaru,Elektronik,Medan,3,7317561,Credit Card,0,21952683,2025-06,2,20
134,2025-03-01 16:47:34,Headphone Wireless,Aksesoris,Surabaya,4,1279062,E-Wallet,0,5116248,2025-03,5,15
135,2025-04-03 16:47:34,Smartwatch,Aksesoris,Jakarta,1,1817630,Bank Transfer,0,1817630,2025-04,3,14
136,2025-02-18 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,3,4003171,E-Wallet,0,12009513,2025-02,1,18
137,2025-04-03 16:47:34,Keyboard Mekanik,Periferal,Surabaya,3,2453607,Bank Transfer,0,7360821,2025-04,3,12
138,2025-05-09 16:47:34,Headphone Wireless,Aksesoris,Medan,4,1103585,Credit Card,0,4414340,2025-05,4,9
139,2025-05-28 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,4370485,Credit Card,0,8740970,2025-05,2,13
140,2025-05-20 16:47:34,Monitor Curved,Periferal,Jakarta,4,3681076,Debit Card,0.1,13251873.6,2025-05,1,18
141,2025-06-17 16:47:34,Headphone Wireless,Aksesoris,Jakarta,3,412990,Debit Card,0,1238970,2025-06,1,13
142,2025-01-26 16:47:34,Headphone Wireless,Aksesoris,Surabaya,3,1418095,E-Wallet,0.05,4041570.75,2025-01,6,17
143,2025-02-02 16:47:34,Headphone Wireless,Aksesoris,Jakarta,2,1358079,Credit Card,0,2716158,2025-02,6,17
144,2025-01-10 16:47:34,Headphone Wireless,Aksesoris,Jakarta,2,1281883,Credit Card,0.05,2435577.7,2025-01,4,21
145,2025-06-06 16:47:34,Monitor Curved,Periferal,Denpasar,2,3668321,Debit Card,0,7336642,2025-06,4,18
146,2025-03-09 16:47:34,Laptop Gaming,Elektronik,Surabaya,4,18293705,Bank Transfer,0,73174820,2025-03,6,13
147,2025-03-24 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,4618702,E-Wallet,0,9237404,2025-03,0,21
148,2025-01-25 16:47:34,Laptop Gaming,Elektronik,Makassar,3,21154512,E-Wallet,0,63463536,2025-01,5,16
149,2025-03-04 16:47:34,Monitor Curved,Periferal,Denpasar,3,3500071,Debit Card,0,10500213,2025-03,1,18
150,2025-06-16 16:47:34,Smartphone Terbaru,Elektronik,Medan,1,6759505,Credit Card,0.05,6421529.75,2025-06,0,15
151,2025-02-11 16:47:34,Keyboard Mekanik,Periferal,Makassar,4,426806,Debit Card,0.1,1536501.6,2025-02,1,15
152,2025-02-28 16:47:34,Headphone Wireless,Aksesoris,Surabaya,1,715384,Debit Card,0.1,643845.6,2025-02,4,8
153,2025-05-11 16:47:34,Keyboard Mekanik,Periferal,Surabaya,3,470119,Debit Card,0.05,1339839.15,2025-05,6,12
154,2025-01-25 16:47:34,Keyboard Mekanik,Periferal,Surabaya,1,2273722,Debit Card,0,2273722,2025-01,5,14
155,2025-01-25 16:47:34,Keyboard Mekanik,Periferal,Medan,3,1633741,Bank Transfer,0,4901223,2025-01,5,13
156,2025-04-15 16:47:34,Keyboard Mekanik,Periferal,Medan,1,1919603,Bank Transfer,0,1919603,2025-04,1,12
157,2025-02-10 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,4968541,Credit Card,0,9937082,2025-02,0,15
158,2025-03-22 16:47:34,Headphone Wireless,Aksesoris,Jakarta,1,707507,Debit Card,0,707507,2025-03,5,10
159,2025-01-27 16:47:34,Smartphone Terbaru,Elektronik,Medan,2,4750740,Bank Transfer,0,9501480,2025-01,0,13
160,2025-03-13 16:47:34,Laptop Gaming,Elektronik,Jakarta,2,15863403,Credit Card,0,31726806,2025-03,3,12
161,2025-05-05 16:47:34,Headphone Wireless,Aksesoris,Medan,4,1179903,Debit Card,0,4719612,2025-05,0,15
162,2025-03-30 16:47:34,Headphone Wireless,Aksesoris,Medan,2,1185421,E-Wallet,0.1,2133757.8,2025-03,6,11
163,2025-05-06 16:47:34,Smartphone Terbaru,Elektronik,Medan,2,7278384,Bank Transfer,0.05,13828929.6,2025-05,1,15
164,2025-04-28 16:47:34,Headphone Wireless,Aksesoris,Makassar,1,1278836,Credit Card,0,1278836,2025-04,0,17
165,2025-01-24 16:47:34,Keyboard Mekanik,Periferal,Makassar,3,579830,E-Wallet,0.1,1565541,2025-01,4,21
166,2025-04-28 16:47:34,Headphone Wireless,Aksesoris,Surabaya,4,861931,Debit Card,0.15,2930565.4,2025-04,0,9
167,2025-04-23 16:47:34,Monitor Curved,Periferal,Medan,2,6113640,Debit Card,0,12227280,2025-04,2,16
168,2024-12-31 16:47:34,Keyboard Mekanik,Periferal,Medan,4,706094,Debit Card,0,2824376,2024-12,1,20
169,2025-04-10 16:47:34,Keyboard Mekanik,Periferal,Jakarta,1,1636497,Bank Transfer,0,1636497,2025-04,3,16
170,2025-06-01 16:47:34,Smartwatch,Aksesoris,Jakarta,2,1911220,Credit Card,0.1,3440196,2025-06,6,21
171,2025-05-14 16:47:34,Keyboard Mekanik,Periferal,Jakarta,1,1083404,E-Wallet,0.1,975063.6,2025-05,2,17
172,2025-02-28 16:47:34,Keyboard Mekanik,Periferal,Surabaya,4,1947261,Credit Card,0,7789044,2025-02,4,17
173,2025-06-11 16:47:34,Keyboard Mekanik,Periferal,Medan,1,1266183,Bank Transfer,0,1266183,2025-06,2,20
174,2025-02-17 16:47:34,Laptop Gaming,Elektronik,Makassar,4,24011501,Credit Card,0,96046004,2025-02,0,13
175,2025-06-18 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,1,8036269,Bank Transfer,0,8036269,2025-06,2,11
176,2025-05-29 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,7539014,Debit Card,0,30156056,2025-05,3,11
177,2025-02-25 16:47:34,Laptop Gaming,Elektronik,Denpasar,3,18895958,E-Wallet,0.1,51019086.6,2025-02,1,20
178,2025-04-25 16:47:34,Smartwatch,Aksesoris,Jakarta,1,1132543,Debit Card,0.05,1075915.85,2025-04,4,13
179,2025-06-06 16:47:34,Monitor Curved,Periferal,Surabaya,1,2451157,Credit Card,0.1,2206041.3,2025-06,4,12
180,2025-04-03 16:47:34,Keyboard Mekanik,Periferal,Medan,3,1506581,Debit Card,0.1,4067768.7,2025-04,3,13
181,2025-06-26 16:47:34,Laptop Gaming,Elektronik,Surabaya,3,16265898,E-Wallet,0.05,46357809.3,2025-06,3,14
182,2025-04-20 16:47:34,Keyboard Mekanik,Periferal,Jakarta,1,1280412,Debit Card,0,1280412,2025-04,6,14
183,2025-02-28 16:47:34,Smartwatch,Aksesoris,Jakarta,3,2252844,E-Wallet,0.05,6420605.4,2025-02,4,16
184,2025-02-18 16:47:34,Monitor Curved,Periferal,Jakarta,2,5231185,E-Wallet,0,10462370,2025-02,1,15
185,2025-01-09 16:47:34,Keyboard Mekanik,Periferal,Medan,4,2092110,Debit Card,0.05,7950018,2025-01,3,20
186,2025-02-05 16:47:34,Smartwatch,Aksesoris,Surabaya,4,817875,Bank Transfer,0,3271500,2025-02,2,13
187,2025-05-07 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,4,8923098,Credit Card,0.05,33907772.4,2025-05,2,19
188,2025-05-08 16:47:34,Keyboard Mekanik,Periferal,Medan,2,1628337,Bank Transfer,0,3256674,2025-05,3,13
189,2025-04-20 16:47:34,Smartphone Terbaru,Elektronik,Makassar,3,5666078,Bank Transfer,0,16998234,2025-04,6,21
190,2025-04-08 16:47:34,Laptop Gaming,Elektronik,Jakarta,3,15484814,Debit Card,0,46454442,2025-04,1,12
191,2025-04-20 16:47:34,Keyboard Mekanik,Periferal,Surabaya,1,1626134,Credit Card,0,1626134,2025-04,6,8
192,2025-03-19 16:47:34,Smartphone Terbaru,Elektronik,Medan,3,6690583,Credit Card,0.05,19068161.55,2025-03,2,16
193,2025-04-20 16:47:34,Monitor Curved,Periferal,Jakarta,1,4520107,Bank Transfer,0.05,4294101.65,2025-04,6,16
194,2024-12-30 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,2,4630668,Debit Card,0,9261336,2024-12,0,16
195,2025-05-07 16:47:34,Keyboard Mekanik,Periferal,Medan,4,1819541,Credit Card,0,7278164,2025-05,2,18
196,2025-02-20 16:47:34,Smartphone Terbaru,Elektronik,Makassar,4,8246634,Bank Transfer,0,32986536,2025-02,3,15
197,2025-03-25 16:47:34,Keyboard Mekanik,Periferal,Makassar,4,1999908,Credit Card,0,7999632,2025-03,1,20
198,2025-05-06 16:47:34,Monitor Curved,Periferal,Medan,3,4164412,Debit Card,0,12493236,2025-05,1,17
199,2025-05-24 16:47:34,Laptop Gaming,Elektronik,Medan,1,20309792,Debit Card,0.1,18278812.8,2025-05,5,20
200,2025-05-03 16:47:34,Headphone Wireless,Aksesoris,Surabaya,1,556695,Debit Card,0,556695,2025-05,5,10
201,2025-05-07 16:47:34,Keyboard Mekanik,Periferal,Medan,2,2384117,Credit Card,0,4768234,2025-05,2,8
202,2025-02-19 16:47:34,Headphone Wireless,Aksesoris,Surabaya,3,646130,E-Wallet,0,1938390,2025-02,2,18
203,2025-06-18 16:47:34,Laptop Gaming,Elektronik,Jakarta,2,20949852,Credit Card,0,41899704,2025-06,2,19
204,2025-06-06 16:47:34,Headphone Wireless,Aksesoris,Medan,1,329725,E-Wallet,0,329725,2025-06,4,19
205,2025-06-06 16:47:34,Headphone Wireless,Aksesoris,Medan,1,1485574,Debit Card,0.05,1411295.3,2025-06,4,15
206,2025-03-06 16:47:34,Monitor Curved,Periferal,Surabaya,4,6298859,Bank Transfer,0,25195436,2025-03,3,14
207,2025-04-30 16:47:34,Smartwatch,Aksesoris,Denpasar,3,2858638,E-Wallet,0,8575914,2025-04,2,20
208,2025-05-22 16:47:34,Smartphone Terbaru,Elektronik,Jakarta,1,3795928,Debit Card,0,3795928,2025-05,3,12
209,2025-02-04 16:47:34,Smartphone Terbaru,Elektronik,Surabaya,4,8823615,Debit Card,0,35294460,2025-02,1,17
210,2025-01-21 16:47:34,Smartwatch,Aksesoris,Jakarta,3,1388036,E-Wallet,0,4164108,2025-01,1,14
211,2025-03-07 16:47:34,Smartphone Terbaru,Elektronik,Makassar,2,5971783,Bank Transfer,0.15,10152031.1,2025-03,4,17
212,2025-04-23 16:47:34,Laptop Gaming,Elektronik,Medan,3,17662761,Debit Card,0.05,50338868.85,2025-04,2,11
